State,ScaleBar,text,year,month
LA,1.2,LA: 1.2,2018,12
MA,0.75,MA: 0.8,2018,12
MD,1.9,MD: 1.9,2018,12
ME,0.1956521739130435,ME: 0.2,2018,12
MI,0.5740740740740741,MI: 0.6,2018,12
MN,-0.06666666666666667,MN: -0.1,2018,12
MO,0.8095238095238095,MO: 0.8,2018,12
MS,2.272727272727273,MS: 2.3,2018,12
MT,-0.16666666666666666,MT: -0.2,2018,12
NC,1.7777777777777777,NC: 1.8,2018,12
ND,0.0,ND: 0.0,2018,12
NE,0.4,NE: 0.4,2018,12
NH,0.625,NH: 0.6,2018,12
NJ,1.7,NJ: 1.7,2018,12
NM,-0.6304347826086957,NM: -0.6,2018,12
NV,0.25,NV: 0.2,2018,12
NY,1.1111111111111112,NY: 1.1,2018,12
OH,1.5128205128205128,OH: 1.5,2018,12
OK,0.5454545454545454,OK: 0.5,2018,12
OR,-0.27586206896551724,OR: -0.3,2018,12
PA,2.206896551724138,PA: 2.2,2018,12
RI,1.5,RI: 1.5,2018,12
SC,1.6458333333333333,SC: 1.6,2018,12
TN,1.2,TN: 1.2,2018,12
TX,1.0151515151515151,TX: 1.0,2018,12
UT,-2.0,UT: -2.0,2018,12
