State,ScAlabamaeBArkansas,text,yeArkansas,month
Tennessee,-0.272727273,TN: -0.3,2018,7
Texas,-1.736111111,TX: -1.7,2018,7
Utah,-2.2,UT: -2.2,2018,7
Virginia,-0.518518519,VA: -0.5,2018,7
Vermont,-1,VT: -1.0,2018,7
Washington,-1.433333333,WA: -1.4,2018,7
Wisconsin,-0.794871795,WI: -0.8,2018,7
West Virginia,0.272727273,WV: 0.3,2018,7
Wyoming,-0.684210526,WY: -0.7,2018,7
Alaska,2,Alaska: 2.0,2018,8
Alabama,-1.777777778,Alabama: -1.8,2018,8
Arkansas,-0.25,Arkansas: -0.2,2018,8
Arizona,-1.125,Arizona: -1.1,2018,8
California,-1.652173913,CA: -1.7,2018,8
CAN,-1.557692308,CAN: -1.6,2018,8
Colorado,-2.164179104,CO: -2.2,2018,8
Connecticut,1.111111111,CT: 1.1,2018,8
Delaware,0.25,DE: 0.2,2018,8
Florida,0.611940299,FL: 0.6,2018,8
Georgia,0.733333333,GA: 0.7,2018,8
Iowa,-2.230769231,IA: -2.2,2018,8
Idaho,-2.25,ID: -2.2,2018,8
Illinois,-1.027027027,IL: -1.0,2018,8
Indiana,0.56097561,IN: 0.6,2018,8
Kansas,-1.035714286,KS: -1.0,2018,8
Kentucky,0.181818182,KY: 0.2,2018,8
Louisiana,-0.2,LA: -0.2,2018,8
Massachusetts,0.111111111,MA: 0.1,2018,8
Maryland,1.230769231,MD: 1.2,2018,8
Maine,-0.714285714,ME: -0.7,2018,8
Michigan,-0.581818182,MI: -0.6,2018,8
Minnesota,-1.238095238,MN: -1.2,2018,8
Missouri,-1.4,MO: -1.4,2018,8
Mississippi,-0.909090909,MS: -0.9,2018,8
Montana,-1.333333333,MT: -1.3,2018,8
North Carolina,0.746478873,NC: 0.7,2018,8
North Dakota,-1.333333333,ND: -1.3,2018,8
Nebraska,-0.5,NE: -0.5,2018,8
New Hampshire,0.307692308,NH: 0.3,2018,8
New Jersey,0.333333333,NJ: 0.3,2018,8
New Mexico,-1.14,NM: -1.1,2018,8
Nevada,-1.8,NV: -1.8,2018,8
New York,0.424242424,NY: 0.4,2018,8
Ohio,0.027777778,OH: 0.0,2018,8
Oklahoma,-0.461538462,OK: -0.5,2018,8
Oregon,-2.125,OR: -2.1,2018,8
Pennsylvania,1.52,PA: 1.5,2018,8
Rhode Island,-1.166666667,RI: -1.2,2018,8
South Carolina,0.217391304,SC: 0.2,2018,8
South Dakota,-2.1,SD: -2.1,2018,8
Tennessee,-0.076923077,TN: -0.1,2018,8
Texas,-1.878787879,TX: -1.9,2018,8
Utah,-2.75,UT: -2.8,2018,8
Virginia,1.047619048,VA: 1.0,2018,8
Vermont,0.5,VT: 0.5,2018,8
Washington,-2.24,WA: -2.2,2018,8
Wisconsin,-0.833333333,WI: -0.8,2018,8
West Virginia,1.454545455,WV: 1.5,2018,8
Wyoming,0,WY: 0.0,2018,8
Alaska,0.833333333,Alaska: 0.8,2018,9
Alabama,-1.238095238,Alabama: -1.2,2018,9
Arkansas,-0.5,Arkansas: -0.5,2018,9
Arizona,-1.157894737,Arizona: -1.2,2018,9
California,-1.5,CA: -1.5,2018,9
CAN,-1.074468085,CAN: -1.1,2018,9
Colorado,-2.277777778,CO: -2.3,2018,9
Connecticut,0.52,CT: 0.5,2018,9
Delaware,0.2,DE: 0.2,2018,9
Florida,0.267605634,FL: 0.3,2018,9
Georgia,-0.416666667,GA: -0.4,2018,9
Iowa,0.1875,IA: 0.2,2018,9
Idaho,-2.5,ID: -2.5,2018,9
Illinois,0.223880597,IL: 0.2,2018,9
Indiana,0.741935484,IN: 0.7,2018,9
Kansas,0.137931034,KS: 0.1,2018,9
Kentucky,0.363636364,KY: 0.4,2018,9
Louisiana,0.833333333,LA: 0.8,2018,9
Massachusetts,0.304347826,MA: 0.3,2018,9
Maryland,2,MD: 2.0,2018,9
Maine,-1.058823529,ME: -1.1,2018,9
Michigan,0.471698113,MI: 0.5,2018,9
Minnesota,0.3125,MN: 0.3,2018,9
Missouri,-0.047619048,MO: -0.0,2018,9
Mississippi,0.5,MS: 0.5,2018,9
Montana,-0.666666667,MT: -0.7,2018,9
North Carolina,0.275,NC: 0.3,2018,9
North Dakota,0.2,ND: 0.2,2018,9
Nebraska,0,NE: 0.0,2018,9
New Hampshire,-0.2,NH: -0.2,2018,9
New Jersey,0.272727273,NJ: 0.3,2018,9
New Mexico,-1.169491525,NM: -1.2,2018,9
Nevada,-3,NV: -3.0,2018,9
New York,0.435483871,NY: 0.4,2018,9
Ohio,0.805555556,OH: 0.8,2018,9
Oklahoma,0.9,OK: 0.9,2018,9
Oregon,-1.862068966,OR: -1.9,2018,9
Pennsylvania,2.25,PA: 2.2,2018,9
Rhode Island,-1.5,RI: -1.5,2018,9
South Carolina,-0.468085106,SC: -0.5,2018,9
South Dakota,-2,SD: -2.0,2018,9
Tennessee,-0.8,TN: -0.8,2018,9
Texas,0.516483516,TX: 0.5,2018,9
Utah,-3,UT: -3.0,2018,9
